volt, time
0.586, 1468260569.309753
0.584, 1468260569.311462
0.562, 1468260569.313049
0.544, 1468260569.314605
0.549, 1468260569.316375
0.535, 1468260569.317962
0.535, 1468260569.319488
0.530, 1468260569.321014
0.525, 1468260569.322540
0.520, 1468260569.324035
0.535, 1468260569.327758
0.564, 1468260569.330200
0.564, 1468260569.332519
0.557, 1468260569.335723
0.571, 1468260569.338104
0.566, 1468260569.340484
0.554, 1468260569.343566
0.552, 1468260569.346893
0.581, 1468260569.349365
0.552, 1468260569.350982
0.547, 1468260569.352600
0.542, 1468260569.354156
0.537, 1468260569.355926
0.537, 1468260569.357482
0.530, 1468260569.359008
0.537, 1468260569.360504
0.527, 1468260569.362060
0.522, 1468260569.363555
0.542, 1468260569.367858
0.559, 1468260569.370239
0.559, 1468260569.372528
0.552, 1468260569.375701
0.579, 1468260569.378082
0.564, 1468260569.380432
0.540, 1468260569.383514
0.579, 1468260569.387969
0.581, 1468260569.389709
0.562, 1468260569.391326
0.549, 1468260569.392883
0.547, 1468260569.394409
0.540, 1468260569.396179
0.540, 1468260569.397766
0.535, 1468260569.399291
0.532, 1468260569.400817
0.530, 1468260569.402313
0.535, 1468260569.403808
0.520, 1468260569.407379
0.562, 1468260569.409851
0.564, 1468260569.412200
0.532, 1468260569.415435
0.569, 1468260569.417907
0.542, 1468260569.419677
0.576, 1468260569.425537
0.581, 1468260569.428985
0.576, 1468260569.430694
0.562, 1468260569.432281
0.549, 1468260569.433837
0.542, 1468260569.435638
0.544, 1468260569.437194
0.535, 1468260569.438751
0.527, 1468260569.440277
0.525, 1468260569.441772
0.530, 1468260569.443298
0.535, 1468260569.445648
0.554, 1468260569.448608
0.554, 1468260569.450927
0.530, 1468260569.453186
0.532, 1468260569.456420
0.576, 1468260569.458770
0.569, 1468260569.461120
0.544, 1468260569.464202
0.549, 1468260569.467681
0.579, 1468260569.470214
0.566, 1468260569.471832
0.557, 1468260569.473388
0.547, 1468260569.475158
0.542, 1468260569.476745
0.542, 1468260569.478332
0.540, 1468260569.480285
0.544, 1468260569.481903
0.532, 1468260569.483459
0.530, 1468260569.485870
0.549, 1468260569.488769
0.525, 1468260569.491088
0.527, 1468260569.493408
0.530, 1468260569.496643
0.540, 1468260569.498962
0.571, 1468260569.501312
0.564, 1468260569.504760
0.584, 1468260569.508544
0.581, 1468260569.510253
0.562, 1468260569.511840
0.544, 1468260569.513397
0.535, 1468260569.515197
0.544, 1468260569.516754
0.540, 1468260569.518310
0.530, 1468260569.519836
0.525, 1468260569.521331
0.527, 1468260569.522827
0.522, 1468260569.524444
0.547, 1468260569.528350
0.566, 1468260569.530700
0.525, 1468260569.533020
0.562, 1468260569.536285
0.574, 1468260569.538696
0.542, 1468260569.541015
0.540, 1468260569.544097
0.569, 1468260569.549011
0.584, 1468260569.551544
0.566, 1468260569.553192
0.549, 1468260569.554779
0.544, 1468260569.556610
0.549, 1468260569.558166
0.535, 1468260569.559722
0.537, 1468260569.561248
0.537, 1468260569.562744
0.527, 1468260569.565765
0.535, 1468260569.568695
0.557, 1468260569.571075
0.564, 1468260569.573455
0.547, 1468260569.576721
0.566, 1468260569.579040
0.571, 1468260569.581390
0.564, 1468260569.585144
0.574, 1468260569.588592
0.581, 1468260569.590301
0.564, 1468260569.591888
0.549, 1468260569.593414
0.544, 1468260569.595245
0.547, 1468260569.596832
0.535, 1468260569.598358
0.527, 1468260569.599884
0.527, 1468260569.601409
0.522, 1468260569.602905
0.525, 1468260569.605499
0.554, 1468260569.608489
0.540, 1468260569.610809
0.532, 1468260569.613128
0.552, 1468260569.616394
0.574, 1468260569.618774
0.540, 1468260569.621124
0.532, 1468260569.624664
0.584, 1468260569.628295
0.584, 1468260569.630035
0.566, 1468260569.631622
0.549, 1468260569.633178
0.540, 1468260569.634704
0.544, 1468260569.636505
0.537, 1468260569.638061
0.527, 1468260569.639617
0.530, 1468260569.641143
0.530, 1468260569.642639
0.522, 1468260569.645568
0.559, 1468260569.648529
0.530, 1468260569.650878
0.525, 1468260569.653228
0.527, 1468260569.656524
0.554, 1468260569.658935
0.547, 1468260569.661254
0.542, 1468260569.664367
0.574, 1468260569.667816
0.571, 1468260569.671783
0.576, 1468260569.673492
0.554, 1468260569.675354
0.552, 1468260569.677001
0.544, 1468260569.678558
0.542, 1468260569.680084
0.532, 1468260569.681579
0.522, 1468260569.683105
0.527, 1468260569.685913
0.542, 1468260569.688873
0.544, 1468260569.691223
0.537, 1468260569.693542
0.535, 1468260569.696807
0.569, 1468260569.699188
0.542, 1468260569.701538
0.535, 1468260569.705200
0.588, 1468260569.708618
0.581, 1468260569.710388
0.566, 1468260569.712005
0.549, 1468260569.713562
0.537, 1468260569.715362
